free_text,label_id
"Học đi em ơi, tí cái tuổi ranh đã đòi. Ra đời nó quật cho vài cái đói há mồm thì mới hối hận sao lúc đó không học tiếp. Lớp 8 đã đòi bỏ học đi làm thì m cũng vừa đua đòi vừa hỗn vừa ngu. Mọi người khuyên chắc cũng éo thấm vào đầu đâu nhưng mà nói cho m biết là giờ phổ cập giáo dục gần như là cả đại học rồi nhé. Một đứa chưa học hết cấp hai như m thì người ta gọi là thất học, là gánh nặng xã hội đấy.",1
Làm màu ấy. Phe Công An thì chọn làm lành với Mỹ. Nhưng phe quân đội thì chống lại ý kiến này. Thế th,0
Cần thận mà điều tra chú đắc lắc mà kiện thì phải rõ ràng mình bạch chú o là họ tạch đó,0
Con mẹ mày bánh mì là một thứ rất ngon ở thời học sinh,1
"Oh yea, chờ bee up lên tới mòn cả đít lun r",0
Trọng tài đã bắt đúng không có gì mờ ám cả.,0
"Kiểu không ai hỏi, mắc nói lắm hay gì mà nói vậy, vô duyên thì thôi nhé. Tôi ghét nhất những người ko có boundaries ntn, rất phiền",1
"Lượt về Việt Nam xé thắng 1,0",0
"Ấn Độ là một đất nước có màu da xỉn màu xấu xí, phong tục ăn bốc rất mọi rợ, thức ăn đường phố vô cùng bẩn, xác chết đem thiêu bên bờ sông Hằng rồi ném xuống sông. Thật là kinh tởm!",2
Tội con nhỏ đó ghê luôn á người đẹp bị khờ kìa,1
Bài học rút ra: cứ mở mồm khịa VN là xác định ăn một cú tát trời giáng bị nghiệp quật vào mặt:)) thà im im mà làm có khi còn đỡ quê🤗,0
Cho em hỏi là về sau điều tra ra các em này gian lận thì có hủy kết quả không ạ? Mấy nay ko nghe nói gì điều tra thêm nên ko rõ,0
Đàn bà là những niềm đau.nếu tử tế bố đứa nào dám động vào,1
con đó làm gì mà cứ để cho nó đánh v:)) nhịn giỏi vậy,1
ê chỗ mình nè,0
"Mừng Tuna trở lại, cái vibe này đúng như thời đầu , chất riêng của Tuna , mình theo từ 2020",0
"Chúng tớ thực sự thấu hiểu và chia sẻ những cảm nhận khác nhau mà các bạn đã bày tỏ liên quan đến câu chuyện này.
Vinamilk cảm ơn góp ý thẳng thắn – để đội ngũ kinh doanh tiếp tục rà soát quy trình, đào tạo nvien bài bản, nâng cao chất lượng phục vụ toàn hệ thống.
Chúng tớ đang từng bước hoàn thiện phương thức thanh toán bằng QR theo hóa đơn thực, nhằm mang lại trải nghiệm mua sắm minh bạch, thuận tiện.
Vinamilk cam kết không ngừng để tâm từng điều nhỏ để trải nghiệm mua sắm được tốt hơn.",0
"Có những hủ tục đội lốt văn hoá. Nghiện thì nói mẹ là nghiện, dân mình cứ hay tạo nét. Văn hoá văn đồ.",1
"“Chúc bé luôn hp với sự lựa chọn của bản thân”
Đm điên à??",2
Đàn bà là những niềm đau khổ,2
"đi bão là cái cớ cho đám báo đời gây rốt ttcc được thoả sức thể hiện với nguy cơ bị tóm thấp mà 🙂 bóng thì k biết có xem được trận nào k, yêu nước gì cái bọn đấy hả cm ơi, đó gọi là vô văn hoá 👎👎",1
Đợt này Pháp luật vào cuộc kiểm tra lại... Truy thu toàn bộ để giúp cho dân bị thiên tai lũ lụt,0
"Nghèo quá thì thôi đừng học. Ra học nghề kiểu sửa xe, điện lạnh, hàn xì này nọ vừa kiếm tiền nhanh vừa ko bị AI thay thế vừa ko lo thất nghiệp. Còn chuyện kết hôn sinh con đẻ cái hay giàu có thì xem vận may. Chứ thạc sĩ cũng khó xin việc bome ra, IT thất nghiệp đầy hoặc intern cả năm trời lương 6tr còn nơm nớp bị layoff vì h 1 con AI pro thay thế được 5 thằng entry. Học phí thì 1-200tr, thêm chi phí chìm ăn ở đi lại tài liệu học tập chưa ai tính đến tổng cook hết 5-600tr",0
con đồng ý với chú Tuân ở gần cuối video ạ con tiktok đã hơn nữa năm rồi và con đồng tình với quan điểm của chú con tập chung vào việc học nhiều hơn(dù đã tốt hơn trước nhưng sự thiếu hụt về kiến thức vẫn là 1cais gì đó khó nói ;-;) dù sao thì giờ con đã tốt hơn trước rất nhiều và video chú hay vl lần nào ăn con cũng bặt lên coi cho vui.,0
Chưa thấy ai kể drama mà hài như ông này. Keep up the good work bro,0
"Nhan sắc thấy tầm thường quá mày ơi, giỏi phải có tài lẻ nữa chứ, kg riêng đẹp thì vào CLB cave thiếu mẹ gì, cưới về ảnh hưởng thế hệ về sau.",1
Sao kỳ thị 9x đời giữa vậy anh!,0
"Thấy ngứa mắt ds Tiến với Long dã man, bao nhiêu kiến thức y khoa mà nghe 1 viên kẹo = 1 đĩa rau vẫn tin, vừa ngu lại còn tỏ ra nguy hiểm thách thức cả cđm",1
"Bạn làm dịch vụ cư xử vậy là đúng rồi
Không chấp chó b ạ",1
Chắc phụ huynh hs CTQ xót dữ lắm kkkk gào thét khók hết nước mắt chảy nước dãi. Ai mà nỡ làm xước cục vàng cục ngọc dòng thứ gian lận mà được thi lại. Nền GDVN bị mục nát r,1
Kinh tởm,1
thấy dân mình hiền cứ làm kiểu đấy,1
Cái miệng hại sự nghiệp,0
Vô học và vô văn hóa combo 1 chỗ,1
Nhot het chung no lai,1
"chưa bao giờ xem video hơn 1 tiếng mà nhanh như thế này, ad lượn mượt quá lượn tới nút đăng ký kênh luôn rồi.",0
"Nghe Mỹ nói về tự do, nhân quyền, tôn giáo khác gì nghe c-a v-e kể chuyện",1
"Dân ngán thôi chứ chính phủ vẫn gồng được 😂 vẫn chạy theo đổ bô cho Mỹ mạnh lắm, thằng Mỹ nó đi đánh nhau khắp nơi chả phải chịu tị nạn nhiều, mấy ông Châu âu đi theo đổ bô nhận hết 🤣",0
Sau cứ auto Từ chối luôn.nhìn rõ ra gì mà chán thế nhỉ,0
"Câu truớc "" NSC có tội tình gì "" câu sau "" trong cuộc sống ai cx có lỗi lầm, lỡ có lần này"" ?",0
"bọn quản khu việt bên myanmar hoặc scam đều là người bắc. Chỉ có họ mới đủ tính ác mà hành hạ nạn nhân, nhân từ như dân nam không làm nổi.",2
Dơ bẩn,1
nhà tui mỗi lần đặt xe tui đều đi ra ngoài hẻm lớn dù hẻm nhà tui xe vô vẫn dc nhưng sẽ khó khăn hơn cho tx.,0
"nhìn thái độ của thằng đàn bà đó kìa, xin lỗi mà nghênh thế kia thì thành khẩn đâu ra",1
"đã khá đúng lại còn chuẩn vl cãi làm sao được. Nói ngu như con chó chúng nó vào nói lại nhổng cả I lên là tđn... Bố con dẩm I, Hà Nội mưa lắm ảnh hưởng mạch ở đầu mày à",1
khổ trúng ngay mấy ông user có vk con r căng:))),0
"Người miền nam chi tiêu thoải mái kiểu tận hưởng. Còn miền bắc thì chắt chiu, tính toán hơn",1
Ê thiếu Ogenus với mẹ :))),0
"Đây rồi, cái chất giọng, cái animation 2d lật như cái bánh tráng trộn ngày nào, cái vibe hài ẻ của chú Tuân từng khuynh đảo cộng đồng yt năm xưa đây rồi

Ơ đâu cũng có người tốt kẻ xấu chứ nó liên quan gì đến vùng miền. Mạng xh càng phát triển thì vấn nạn này sẽ còn tiếp diễn lâu dài.",0
"Bả chê là phải mà, vì bánh mì chỉ dành cho những ng tốt thực sự biết thưởng thức thôi",0
rồi chút mừng e trai nè quay vô ô may mắn,0
Tôi ko thể nổi 3tr người bị bại não tạo ra một con điên ảo tưởng.chac j đã giàu sang hơn đâu mà hay ra ze wa,1
Ng ta mê cái mới hơn ok,0
Cái chủ đề dễ viral lên view lên follow nên ai cũng làm,0
Nhạc đầu video của anh như tron game grow a garden:)))),0
Khổ quá mấy bác ơi tôi book 1m6/2 người chụp 6 tiếng. Giờ bị mắng chụp có 800k mà đòi hỏi 🦭 Rồi sao nữa giá niêm yết bên anh vậy mò. Hay anh viết luôn câu trình độ anh chỉ có vậy thôi đi. Còn thái độ anh còn không bằng con 🐶,1
Cô gái tội nghiệp vì não có vấn đề,1
y đức quan trọng nên cấm thành phần học tiếp đạo đức không có thì đừng học nghành nhan dân chuẩn mực y đức,0
"Còn bà m tuổi mẹ m, gọi t là mẹ đi thằng ngu lồn",1
"nhớ mựa lấy vợ mọi Miên, Chăm để cho cái giống quái thai của tụi mày (việt kinh) hông nhiễm vô Nam Kỳ!",2
"HỌA TỪ MIỆNG MÀ RA, BỆNH CŨNG TỪ MÕM, GIỜ THÌ MÀY KHỔ THẬT LUÔN",1
gặp tooii thì mời lên trầu trời,1
con gái mà hư thân mất nết làm xấu mặt chị em phụ nữ quá,1
"đi lấy AI làm cái ảnh thờ là biết cái thứ đéo có ăn học mới làm cái trò óc chó v , kêu mấy thằng đó đưa cái mặt nó ra t làm ảnh cho bno thì trốn đi đâu luôn , đúng mấy cái thứ hèn mà ngu",1
Mấy con rẻ tiền thì phí chi nước miếng,1
Đã là yêu kh cần giới tính Ok ?,0
1 tip cho các bà nếu không call được ai thì có thể giả vờ đang voice mess bảo mua thêm xoài đi t mua nước rồi bla bla nchung là bịa ra cgi đó để cho thấy là có người đang chờ bà ở home đó,0
"những hành động và suy nghĩ của bạn này nó gọi là bản chất rồi, hết phốt này tới phốt khác cứ liên tục như vậy khó có thể thay đổi được",1
"ko có cái ngu nào bằng cái ngu này, rồi vào mắt người ta ngã ra đường mới biết đầu óc mình có bao giờ suy nghĩ trước sau đâu :)))",1
"Kẻ hung hổ hồ đồ đánh người ta theo kiểu vô côn, anh chàng này thuộc loại người vô côn hi vọng mọi người xa lánh",1
giỏi làm tình nha massage karaoke với đi khách miền tây đỉnh nhất,2
"Tao ko có nói phụ nữ tự phải bảo vệ bản thân, tao nhắc riêng mỗi con dẩm lồn như mày thôi đấy , riêng mỗi mày thôi còn đầu đậu hũ , đồ tự ái , sĩ diện dốt . Ngu như mày có giải thích đến như nào nó vẫn tỏ ra mình biết tất cả nhưng thật ra đel biết cái del gì cả , riêng mỗi mày thôi đồ phụ nữ dốt , đến lúc ngu thì lại bảo đời đồ đàn ông là lũ tồi .",2
"Này sai rõ còn gì, tai nạn giao thông và giết ng là 2 tội khác nhau",0
"Xã hội Vn có nhiều thằng bại não, chỉ chăm chăm đổ lỗi ngược lại nạn nhân, vấn đề ở đây là thằng này nó đánh con kia bao nhiêu lần thì họ chỉ quan tâm xem con kia sao ko chạy ko né :))) xã hội nát lắm",1
Nè nghe rõ nha mọi người nó nhấn mạnh nhiều lần :)) Tui hỏi đi hỏi lại nó vẫn cứ Bac K* ( t ghét t chửi Bắc ỉ ẹ ày ) hơi hỗn nhưng thông cảm bức xúc qua nó nhai riết,2
Đúng là con gái thời nay,2
Ở mẽo mấy tiệm nail tôi biết cứ thấy khách ấn đụ là đuổi trước tính sau,2
5:06 hay quá vì đã lên tiếng cho tụi em,0
"Không phân biệt vùng miền nhưng thật sự người Thanh Hoá tôi gặp đa số sống hai mặt, ngoài thì ngọt trong thì tính toán từng đồng",2
meo hieu kieu gi,0
"thầy gì dễ v,",0
Đàn bà có tính đó đến già không bỏ đươc đâu tốt nhất dừng lại,2
1:16 giọng Bee cũng ngọt moà,0
Chỉ có ủng hộ hoặc ko ủng hộ ông lớp 11 thôi chứ ai ủng hộ ông lớp 12,0
Địt con cụ m thằng ngu học óc chó,1
"cái thứ trí khôn tồi tàn nào nhìn ra đấy là ""khoe"" thế hả 😂 này m tự áp đặt nha, t cho m đi stalk lại 1 lần nữa, chỉ ra khoe mẽ ở chỗ nào, t nói r, kể thực tế vào thẳng vấn đề nó khác với loại khoe mẽ 😂 , còn giáo viên mà như m xứng đáng bị chửi nha, giáo viên cũng là con người, có this có that, ko phải ai cũng đủ hoàn hảo để ko bị chửi, điển hình như m, nết như óc nhợn trẩu trẩu lên mạng cmt bị chửi, khoe làm giáo viên khác nào tự nhục bản thân thêm ko",1
Đàn bà là những niềm đau.nếu tử tế bố đứa nào dám động vào người.đằng này thấy nó khen một chút là chảy nước miếng.ko ở đc với nhau thì chia tay.đằng này có miếng giò lại mò miếng thịt,2
5 giờ sáng vẫn bão với bủng hả mấy th đầu cứt ơi,1
Thích cách kể chuyện của ad. Mong ad nói nhanh hơn xíu thì nghe hợp tai hơn ạ️,0
Ơ......sao rui ko thấy mê gì ta:)))))Tui thẳng mà nghe xong kiểu......con này nhạt vãi:)),1
Phân tích rất hợp lý!,0
kiểu cũng rãnh cty thi dag thất nghiệp nên cũng nhàn rảnh rồi nên đi nt ép ngta vô đường cùng mới hả dạ mô phật,0
Thôi tôi cũng 1 lần là cút never come back bann ơi,1
Cong nhận Ấn Độ bẩn thật tôi sợ phát khiếp,2
"đứng xem mà cũng bảo hội đồng, đến chịu",0
Làm sao có những đứa lên tiktok nói chuyện nhảm nhí như vậy mà có những người follow tôi không hiểu suy nghĩ của giới trẻ bây giờ như thế nào,1
double standard,0
"Tôi fan bánh mì xíu mại vs bánh mì chảo, bánh mì chả vs nhất là bánh mì que",0
"cái thứ này cho nó bóc c.ứt ăn thì nó mới ko chê thôi... nghe mà thấy cay thiệt, tuy mình là ng ko thích ăn bánh mì thịt",1
"Đơn giản, nhìn đám bạn nghệ sĩ của ông chồng là biết thôi, toàn trai hư, ở ngoài với fan thì ta đây ok lắm, 1 nhóm họp lại đi rồi thấy",0
cái nhận xét ấn độ hôi là của toàn thế giới,2
tặng quà j mà nhiều vậy b,0
Nhìn mấy đứa này ăn bận mà nhớ những năm 2014-2015. Tụi nó kẹt ở đâu mới rã đông ra zạy,1
Em 50tr tổng tất toán 31 mà lương em 3-5tr à sos,0
